Round,EventName,DriverNumber,Abbreviation,TeamName,Position,Points
1,Australian Grand Prix,63,RUS,Mercedes,1.0,25.0
1,Australian Grand Prix,12,ANT,Mercedes,2.0,18.0
1,Australian Grand Prix,16,LEC,Ferrari,3.0,15.0
1,Australian Grand Prix,44,HAM,Ferrari,4.0,12.0
1,Australian Grand Prix,1,NOR,McLaren,5.0,10.0
1,Australian Grand Prix,3,VER,Red Bull,6.0,8.0
1,Australian Grand Prix,87,BEA,Haas F1 Team,7.0,6.0
1,Australian Grand Prix,41,LIN,RB F1 Team,8.0,4.0
1,Australian Grand Prix,5,BOR,Audi,9.0,2.0
1,Australian Grand Prix,10,GAS,Alpine F1 Team,10.0,1.0
1,Australian Grand Prix,31,OCO,Haas F1 Team,11.0,0.0
1,Australian Grand Prix,23,ALB,Williams,12.0,0.0
1,Australian Grand Prix,30,LAW,RB F1 Team,13.0,0.0
1,Australian Grand Prix,43,COL,Alpine F1 Team,14.0,0.0
1,Australian Grand Prix,55,SAI,Williams,15.0,0.0
1,Australian Grand Prix,11,PER,Cadillac F1 Team,16.0,0.0
1,Australian Grand Prix,18,STR,Aston Martin,17.0,0.0
1,Australian Grand Prix,14,ALO,Aston Martin,18.0,0.0
1,Australian Grand Prix,77,BOT,Cadillac F1 Team,19.0,0.0
1,Australian Grand Prix,6,HAD,Red Bull,20.0,0.0
1,Australian Grand Prix,81,PIA,McLaren,21.0,0.0
1,Australian Grand Prix,27,HUL,Audi,22.0,0.0
2,Chinese Grand Prix,12,ANT,Mercedes,1.0,29.0
2,Chinese Grand Prix,63,RUS,Mercedes,2.0,26.0
2,Chinese Grand Prix,44,HAM,Ferrari,3.0,21.0
2,Chinese Grand Prix,16,LEC,Ferrari,4.0,19.0
2,Chinese Grand Prix,87,BEA,Haas F1 Team,5.0,11.0
2,Chinese Grand Prix,10,GAS,Alpine F1 Team,6.0,8.0
2,Chinese Grand Prix,30,LAW,RB F1 Team,7.0,8.0
2,Chinese Grand Prix,6,HAD,Red Bull,8.0,4.0
2,Chinese Grand Prix,55,SAI,Williams,9.0,2.0
2,Chinese Grand Prix,43,COL,Alpine F1 Team,10.0,1.0
2,Chinese Grand Prix,27,HUL,Audi,11.0,0.0
2,Chinese Grand Prix,41,LIN,RB F1 Team,12.0,0.0
2,Chinese Grand Prix,77,BOT,Cadillac F1 Team,13.0,0.0
2,Chinese Grand Prix,31,OCO,Haas F1 Team,14.0,0.0
2,Chinese Grand Prix,11,PER,Cadillac F1 Team,15.0,0.0
2,Chinese Grand Prix,3,VER,Red Bull,16.0,0.0
2,Chinese Grand Prix,14,ALO,Aston Martin,17.0,0.0
2,Chinese Grand Prix,18,STR,Aston Martin,18.0,0.0
2,Chinese Grand Prix,81,PIA,McLaren,19.0,3.0
2,Chinese Grand Prix,1,NOR,McLaren,20.0,5.0
2,Chinese Grand Prix,5,BOR,Audi,21.0,0.0
2,Chinese Grand Prix,23,ALB,Williams,22.0,0.0
3,Japanese Grand Prix,12,ANT,Mercedes,1.0,25.0
3,Japanese Grand Prix,81,PIA,McLaren,2.0,18.0
3,Japanese Grand Prix,16,LEC,Ferrari,3.0,15.0
3,Japanese Grand Prix,63,RUS,Mercedes,4.0,12.0
3,Japanese Grand Prix,1,NOR,McLaren,5.0,10.0
3,Japanese Grand Prix,44,HAM,Ferrari,6.0,8.0
3,Japanese Grand Prix,10,GAS,Alpine F1 Team,7.0,6.0
3,Japanese Grand Prix,3,VER,Red Bull,8.0,4.0
3,Japanese Grand Prix,30,LAW,RB F1 Team,9.0,2.0
3,Japanese Grand Prix,31,OCO,Haas F1 Team,10.0,1.0
3,Japanese Grand Prix,27,HUL,Audi,11.0,0.0
3,Japanese Grand Prix,6,HAD,Red Bull,12.0,0.0
3,Japanese Grand Prix,5,BOR,Audi,13.0,0.0
3,Japanese Grand Prix,41,LIN,RB F1 Team,14.0,0.0
3,Japanese Grand Prix,55,SAI,Williams,15.0,0.0
3,Japanese Grand Prix,43,COL,Alpine F1 Team,16.0,0.0
3,Japanese Grand Prix,11,PER,Cadillac F1 Team,17.0,0.0
3,Japanese Grand Prix,14,ALO,Aston Martin,18.0,0.0
3,Japanese Grand Prix,77,BOT,Cadillac F1 Team,19.0,0.0
3,Japanese Grand Prix,23,ALB,Williams,20.0,0.0
3,Japanese Grand Prix,18,STR,Aston Martin,21.0,0.0
3,Japanese Grand Prix,87,BEA,Haas F1 Team,22.0,0.0
4,Miami Grand Prix,12,ANT,Mercedes,1.0,28.0
4,Miami Grand Prix,1,NOR,McLaren,2.0,26.0
4,Miami Grand Prix,81,PIA,McLaren,3.0,22.0
4,Miami Grand Prix,63,RUS,Mercedes,4.0,17.0
4,Miami Grand Prix,3,VER,Red Bull,5.0,14.0
4,Miami Grand Prix,44,HAM,Ferrari,6.0,10.0
4,Miami Grand Prix,43,COL,Alpine F1 Team,7.0,6.0
4,Miami Grand Prix,16,LEC,Ferrari,8.0,10.0
4,Miami Grand Prix,55,SAI,Williams,9.0,2.0
4,Miami Grand Prix,23,ALB,Williams,10.0,1.0
4,Miami Grand Prix,87,BEA,Haas F1 Team,11.0,0.0
4,Miami Grand Prix,5,BOR,Audi,12.0,0.0
4,Miami Grand Prix,31,OCO,Haas F1 Team,13.0,0.0
4,Miami Grand Prix,41,LIN,RB F1 Team,14.0,0.0
4,Miami Grand Prix,14,ALO,Aston Martin,15.0,0.0
4,Miami Grand Prix,11,PER,Cadillac F1 Team,16.0,0.0
4,Miami Grand Prix,18,STR,Aston Martin,17.0,0.0
4,Miami Grand Prix,77,BOT,Cadillac F1 Team,18.0,0.0
4,Miami Grand Prix,27,HUL,Audi,19.0,0.0
4,Miami Grand Prix,30,LAW,RB F1 Team,20.0,0.0
4,Miami Grand Prix,10,GAS,Alpine F1 Team,21.0,1.0
4,Miami Grand Prix,6,HAD,Red Bull,22.0,0.0
5,Canadian Grand Prix,12,ANT,Mercedes,1.0,31.0
5,Canadian Grand Prix,44,HAM,Ferrari,2.0,21.0
5,Canadian Grand Prix,3,VER,Red Bull,3.0,17.0
5,Canadian Grand Prix,16,LEC,Ferrari,4.0,16.0
5,Canadian Grand Prix,6,HAD,Red Bull,5.0,10.0
5,Canadian Grand Prix,43,COL,Alpine F1 Team,6.0,8.0
5,Canadian Grand Prix,30,LAW,RB F1 Team,7.0,6.0
5,Canadian Grand Prix,10,GAS,Alpine F1 Team,8.0,4.0
5,Canadian Grand Prix,55,SAI,Williams,9.0,2.0
5,Canadian Grand Prix,87,BEA,Haas F1 Team,10.0,1.0
5,Canadian Grand Prix,81,PIA,McLaren,11.0,5.0
5,Canadian Grand Prix,27,HUL,Audi,12.0,0.0
5,Canadian Grand Prix,5,BOR,Audi,13.0,0.0
