Round,EventName,Driver,LapNumber,Compound,LapTime_Seconds
1,Australian Grand Prix,ALB,35.0,SOFT,84.375
1,Australian Grand Prix,ALO,14.0,SOFT,85.713
1,Australian Grand Prix,ANT,56.0,HARD,82.417
1,Australian Grand Prix,BEA,21.0,HARD,84.02
1,Australian Grand Prix,BOR,44.0,HARD,83.257
1,Australian Grand Prix,BOT,7.0,HARD,87.364
1,Australian Grand Prix,COL,47.0,SOFT,82.926
1,Australian Grand Prix,GAS,55.0,HARD,84.486
1,Australian Grand Prix,HAD,8.0,MEDIUM,85.239
1,Australian Grand Prix,HAM,54.0,HARD,82.423
1,Australian Grand Prix,LAW,46.0,SOFT,83.783
1,Australian Grand Prix,LEC,37.0,HARD,82.579
1,Australian Grand Prix,LIN,20.0,HARD,84.182
1,Australian Grand Prix,NOR,52.0,MEDIUM,82.358
1,Australian Grand Prix,OCO,24.0,HARD,84.424
1,Australian Grand Prix,PER,46.0,SOFT,86.07
1,Australian Grand Prix,RUS,20.0,HARD,82.67
1,Australian Grand Prix,SAI,51.0,SOFT,83.59
1,Australian Grand Prix,STR,35.0,SOFT,85.41
1,Australian Grand Prix,VER,42.0,HARD,82.091
2,Chinese Grand Prix,ALO,25.0,HARD,99.721
2,Chinese Grand Prix,ANT,52.0,HARD,95.275
2,Chinese Grand Prix,BEA,56.0,HARD,96.429
2,Chinese Grand Prix,BOT,55.0,HARD,98.393
2,Chinese Grand Prix,COL,35.0,MEDIUM,96.783
2,Chinese Grand Prix,GAS,53.0,HARD,96.505
2,Chinese Grand Prix,HAD,46.0,HARD,97.311
2,Chinese Grand Prix,HAM,55.0,HARD,96.092
2,Chinese Grand Prix,HUL,38.0,MEDIUM,96.18
2,Chinese Grand Prix,LAW,56.0,HARD,97.096
2,Chinese Grand Prix,LEC,56.0,HARD,96.011
2,Chinese Grand Prix,LIN,46.0,MEDIUM,96.099
2,Chinese Grand Prix,OCO,54.0,SOFT,95.964
2,Chinese Grand Prix,PER,50.0,HARD,98.523
