Driver,DriverNumber,LapNumber,LapTime,Stint,Compound,TyreLife,FreshTyre,Sector1Time,Sector2Time,Sector3Time,IsAccurate,PitOutTime,PitInTime,Round,EventName,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds
NOR,1,1.0,0 days 00:01:36.458000,1.0,MEDIUM,1.0,True,,0 days 00:00:18.163000,0 days 00:00:38.796000,False,,,1,Australian Grand Prix,96.458,,18.163,38.796
NOR,1,2.0,0 days 00:01:27.344000,1.0,MEDIUM,2.0,True,0 days 00:00:31.074000,0 days 00:00:18.116000,0 days 00:00:38.154000,True,,,1,Australian Grand Prix,87.344,31.074,18.116,38.154
NOR,1,3.0,0 days 00:01:26.863000,1.0,MEDIUM,3.0,True,0 days 00:00:30.541000,0 days 00:00:18.252000,0 days 00:00:38.070000,True,,,1,Australian Grand Prix,86.863,30.541,18.252,38.07
NOR,1,4.0,0 days 00:01:25.857000,1.0,MEDIUM,4.0,True,0 days 00:00:30.190000,0 days 00:00:18.193000,0 days 00:00:37.474000,True,,,1,Australian Grand Prix,85.857,30.19,18.193,37.474
NOR,1,5.0,0 days 00:01:25.573000,1.0,MEDIUM,5.0,True,0 days 00:00:29.930000,0 days 00:00:17.868000,0 days 00:00:37.775000,True,,,1,Australian Grand Prix,85.573,29.93,17.868,37.775
NOR,1,6.0,0 days 00:01:25.036000,1.0,MEDIUM,6.0,True,0 days 00:00:30.025000,0 days 00:00:17.829000,0 days 00:00:37.182000,True,,,1,Australian Grand Prix,85.036,30.025,17.829,37.182
NOR,1,7.0,0 days 00:01:24.978000,1.0,MEDIUM,7.0,True,0 days 00:00:30.067000,0 days 00:00:17.764000,0 days 00:00:37.147000,True,,,1,Australian Grand Prix,84.978,30.067,17.764,37.147
NOR,1,8.0,0 days 00:01:25.299000,1.0,MEDIUM,8.0,True,0 days 00:00:30.191000,0 days 00:00:17.970000,0 days 00:00:37.138000,True,,,1,Australian Grand Prix,85.299,30.191,17.97,37.138
NOR,1,9.0,0 days 00:01:25.639000,1.0,MEDIUM,9.0,True,0 days 00:00:30.135000,0 days 00:00:17.770000,0 days 00:00:37.734000,True,,,1,Australian Grand Prix,85.639,30.135,17.77,37.734
NOR,1,10.0,0 days 00:01:25.295000,1.0,MEDIUM,10.0,True,0 days 00:00:30.117000,0 days 00:00:17.924000,0 days 00:00:37.254000,True,,,1,Australian Grand Prix,85.295,30.117,17.924,37.254
NOR,1,11.0,0 days 00:01:43.391000,1.0,MEDIUM,11.0,True,0 days 00:00:30.117000,0 days 00:00:17.987000,0 days 00:00:55.287000,False,,0 days 01:18:15.593000,1,Australian Grand Prix,103.391,30.117,17.987,55.287
NOR,1,12.0,0 days 00:01:58.075000,2.0,HARD,1.0,True,0 days 00:00:44.892000,0 days 00:00:27.737000,0 days 00:00:45.446000,False,0 days 01:18:34.141000,,1,Australian Grand Prix,118.075,44.892,27.737,45.446
NOR,1,13.0,0 days 00:01:51.932000,2.0,HARD,2.0,True,0 days 00:00:41.529000,0 days 00:00:27.589000,0 days 00:00:42.814000,False,,,1,Australian Grand Prix,111.932,41.529,27.589,42.814
NOR,1,14.0,0 days 00:01:24.233000,2.0,HARD,3.0,True,0 days 00:00:29.882000,0 days 00:00:17.870000,0 days 00:00:36.481000,True,,,1,Australian Grand Prix,84.233,29.882,17.87,36.481
NOR,1,15.0,0 days 00:01:23.784000,2.0,HARD,4.0,True,0 days 00:00:29.402000,0 days 00:00:17.899000,0 days 00:00:36.483000,True,,,1,Australian Grand Prix,83.784,29.402,17.899,36.483
NOR,1,16.0,0 days 00:01:23.912000,2.0,HARD,5.0,True,0 days 00:00:29.524000,0 days 00:00:17.919000,0 days 00:00:36.469000,True,,,1,Australian Grand Prix,83.912,29.524,17.919,36.469
NOR,1,17.0,0 days 00:01:24.053000,2.0,HARD,6.0,True,0 days 00:00:29.442000,0 days 00:00:18.015000,0 days 00:00:36.596000,True,,,1,Australian Grand Prix,84.053,29.442,18.015,36.596
NOR,1,18.0,0 days 00:01:35.404000,2.0,HARD,7.0,True,0 days 00:00:29.758000,0 days 00:00:17.788000,0 days 00:00:47.858000,False,,,1,Australian Grand Prix,95.404,29.758,17.788,47.858
NOR,1,19.0,0 days 00:01:56.070000,2.0,HARD,8.0,True,0 days 00:00:42.456000,0 days 00:00:22.738000,0 days 00:00:50.876000,False,,,1,Australian Grand Prix,116.07,42.456,22.738,50.876
NOR,1,20.0,0 days 00:01:25.774000,2.0,HARD,9.0,True,0 days 00:00:30.612000,0 days 00:00:18.630000,0 days 00:00:36.532000,False,,,1,Australian Grand Prix,85.774,30.612,18.63,36.532
