Round,EventName,Driver,LapNumber,Stint,Compound,PitInTime,PitOutTime
1,Australian Grand Prix,COL,9.0,2.0,HARD,0 days 00:17:09.480000,0 days 00:17:37.180000
1,Australian Grand Prix,NOR,11.0,2.0,HARD,0 days 00:19:40.861000,0 days 00:19:59.061000
1,Australian Grand Prix,OCO,11.0,2.0,HARD,0 days 00:19:45.997000,0 days 00:20:04.497000
1,Australian Grand Prix,GAS,11.0,2.0,HARD,0 days 00:19:46.650000,0 days 00:20:05.250000
1,Australian Grand Prix,SAI,11.0,2.0,HARD,0 days 00:19:56.659000,0 days 00:20:16.459000
1,Australian Grand Prix,LAW,11.0,2.0,HARD,0 days 00:20:02.746000,0 days 00:20:21.846000
1,Australian Grand Prix,ALO,11.0,2.0,SOFT,0 days 00:20:48.545000,0 days 00:21:14.440000
1,Australian Grand Prix,STR,11.0,2.0,HARD,0 days 00:20:37.821000,0 days 00:21:14.507000
1,Australian Grand Prix,RUS,12.0,2.0,HARD,0 days 00:21:15.981000,0 days 00:21:33.775000
1,Australian Grand Prix,ANT,12.0,2.0,HARD,0 days 00:22:00.272000,0 days 00:22:21.257000
1,Australian Grand Prix,ALB,12.0,2.0,HARD,0 days 00:22:01.303000,0 days 00:22:19.421000
1,Australian Grand Prix,BOT,12.0,2.0,HARD,0 days 00:23:57.952000,0 days 00:24:28.339000
1,Australian Grand Prix,LIN,18.0,2.0,HARD,0 days 00:31:07.099000,0 days 00:31:25.605000
1,Australian Grand Prix,VER,18.0,2.0,MEDIUM,0 days 00:31:12.593000,0 days 00:31:31.663000
1,Australian Grand Prix,BEA,18.0,2.0,HARD,0 days 00:30:50.106000,0 days 00:31:08.880000
1,Australian Grand Prix,BOR,18.0,2.0,HARD,0 days 00:53:09.209000,0 days 00:53:31.828000
1,Australian Grand Prix,PER,18.0,2.0,HARD,0 days 00:31:56.620000,0 days 00:32:17.991000
1,Australian Grand Prix,ALO,13.0,3.0,SOFT,0 days 00:40:09.040000,0 days 00:56:21.340000
1,Australian Grand Prix,LEC,25.0,2.0,HARD,0 days 00:40:48.354000,0 days 00:41:05.954000
1,Australian Grand Prix,LEC,18.0,1.0,MEDIUM,0 days 00:40:49.682000,0 days 00:41:07.346000
1,Australian Grand Prix,STR,26.0,3.0,SOFT,0 days 00:44:26.700000,0 days 00:44:59.800000
1,Australian Grand Prix,STR,18.0,2.0,HARD,0 days 00:44:40.626000,0 days 00:45:13.808000
1,Australian Grand Prix,HAM,28.0,2.0,HARD,0 days 00:45:03.940000,0 days 00:45:21.640000
1,Australian Grand Prix,HAM,18.0,1.0,MEDIUM,0 days 00:45:19.036000,0 days 00:45:36.777000
1,Australian Grand Prix,BOR,33.0,3.0,HARD,0 days 00:52:53.935000,0 days 00:53:16.535000
1,Australian Grand Prix,ALB,33.0,3.0,SOFT,0 days 00:53:24.013000,0 days 00:53:42.417000
1,Australian Grand Prix,LAW,33.0,3.0,SOFT,0 days 00:54:27.845000,0 days 00:54:46.035000
1,Australian Grand Prix,SAI,33.0,3.0,MEDIUM,0 days 00:54:41.807000,0 days 00:55:07.746000
1,Australian Grand Prix,NOR,34.0,3.0,MEDIUM,0 days 00:54:07.060000,0 days 00:54:24.660000
1,Australian Grand Prix,VER,41.0,3.0,HARD,0 days 01:03:56.712000,0 days 01:04:14.712000
1,Australian Grand Prix,PER,43.0,3.0,SOFT,0 days 01:09:13.750000,0 days 01:09:32.701000
1,Australian Grand Prix,SAI,45.0,4.0,SOFT,0 days 01:11:24.060999999,0 days 01:11:58.675999999
1,Australian Grand Prix,COL,46.0,3.0,SOFT,0 days 01:12:34.738999999,0 days 01:12:53.299999999
