Round,EventName,Driver,Stint,Compound,StintStartLap,StintEndLap,TotalLapsOnStint
1,Australian Grand Prix,ALB,1.0,MEDIUM,1.0,12.0,12
1,Australian Grand Prix,ALB,2.0,HARD,13.0,33.0,21
1,Australian Grand Prix,ALB,3.0,SOFT,34.0,57.0,24
1,Australian Grand Prix,ALO,1.0,SOFT,1.0,11.0,11
1,Australian Grand Prix,ALO,2.0,SOFT,12.0,13.0,2
1,Australian Grand Prix,ALO,3.0,SOFT,14.0,22.0,9
1,Australian Grand Prix,ANT,1.0,MEDIUM,1.0,12.0,12
1,Australian Grand Prix,ANT,2.0,HARD,13.0,58.0,46
1,Australian Grand Prix,BEA,1.0,MEDIUM,1.0,18.0,18
1,Australian Grand Prix,BEA,2.0,HARD,19.0,57.0,39
1,Australian Grand Prix,BOR,1.0,MEDIUM,1.0,18.0,18
1,Australian Grand Prix,BOR,2.0,HARD,19.0,33.0,15
1,Australian Grand Prix,BOR,3.0,HARD,34.0,57.0,24
1,Australian Grand Prix,BOT,1.0,HARD,1.0,12.0,12
1,Australian Grand Prix,BOT,2.0,HARD,13.0,16.0,4
1,Australian Grand Prix,COL,1.0,HARD,1.0,9.0,9
1,Australian Grand Prix,COL,2.0,HARD,10.0,46.0,37
1,Australian Grand Prix,COL,3.0,SOFT,47.0,56.0,10
1,Australian Grand Prix,GAS,1.0,MEDIUM,1.0,11.0,11
1,Australian Grand Prix,GAS,2.0,HARD,12.0,57.0,46
1,Australian Grand Prix,HAD,1.0,MEDIUM,1.0,11.0,11
1,Australian Grand Prix,HAM,1.0,MEDIUM,1.0,28.0,28
1,Australian Grand Prix,HAM,2.0,HARD,29.0,58.0,30
1,Australian Grand Prix,LAW,1.0,MEDIUM,1.0,11.0,11
1,Australian Grand Prix,LAW,2.0,HARD,12.0,33.0,22
1,Australian Grand Prix,LAW,3.0,SOFT,34.0,57.0,24
1,Australian Grand Prix,LEC,1.0,MEDIUM,1.0,25.0,25
1,Australian Grand Prix,LEC,2.0,HARD,26.0,58.0,33
1,Australian Grand Prix,LIN,1.0,MEDIUM,1.0,18.0,18
1,Australian Grand Prix,LIN,2.0,HARD,19.0,57.0,39
1,Australian Grand Prix,NOR,1.0,MEDIUM,1.0,11.0,11
1,Australian Grand Prix,NOR,2.0,HARD,12.0,34.0,23
1,Australian Grand Prix,NOR,3.0,MEDIUM,35.0,58.0,24
1,Australian Grand Prix,OCO,1.0,MEDIUM,1.0,11.0,11
1,Australian Grand Prix,OCO,2.0,HARD,12.0,57.0,46
1,Australian Grand Prix,PER,1.0,MEDIUM,1.0,18.0,18
1,Australian Grand Prix,PER,2.0,HARD,19.0,43.0,25
1,Australian Grand Prix,PER,3.0,SOFT,44.0,55.0,12
1,Australian Grand Prix,RUS,1.0,MEDIUM,1.0,12.0,12
1,Australian Grand Prix,RUS,2.0,HARD,13.0,58.0,46
1,Australian Grand Prix,SAI,1.0,SOFT,1.0,11.0,11
1,Australian Grand Prix,SAI,2.0,HARD,12.0,33.0,22
1,Australian Grand Prix,SAI,3.0,MEDIUM,34.0,45.0,12
1,Australian Grand Prix,SAI,4.0,SOFT,46.0,56.0,11
1,Australian Grand Prix,STR,1.0,MEDIUM,1.0,11.0,11
1,Australian Grand Prix,STR,2.0,HARD,12.0,26.0,15
1,Australian Grand Prix,STR,3.0,SOFT,27.0,34.0,8
1,Australian Grand Prix,STR,4.0,SOFT,35.0,39.0,5
1,Australian Grand Prix,STR,5.0,SOFT,40.0,43.0,4
1,Australian Grand Prix,VER,1.0,HARD,1.0,18.0,18
1,Australian Grand Prix,VER,2.0,MEDIUM,19.0,41.0,23
1,Australian Grand Prix,VER,3.0,HARD,42.0,58.0,17
2,Chinese Grand Prix,ALO,1.0,HARD,1.0,31.0,31
2,Chinese Grand Prix,ALO,2.0,MEDIUM,32.0,32.0,1
2,Chinese Grand Prix,ANT,1.0,MEDIUM,1.0,10.0,10
2,Chinese Grand Prix,ANT,2.0,HARD,11.0,56.0,46
2,Chinese Grand Prix,BEA,1.0,MEDIUM,1.0,10.0,10
2,Chinese Grand Prix,BEA,2.0,HARD,11.0,56.0,46
2,Chinese Grand Prix,BOT,1.0,MEDIUM,1.0,10.0,10
2,Chinese Grand Prix,BOT,2.0,HARD,11.0,55.0,45
2,Chinese Grand Prix,COL,1.0,HARD,1.0,32.0,32
2,Chinese Grand Prix,COL,2.0,MEDIUM,33.0,55.0,23
2,Chinese Grand Prix,GAS,1.0,MEDIUM,1.0,10.0,10
2,Chinese Grand Prix,GAS,2.0,HARD,11.0,56.0,46
2,Chinese Grand Prix,HAD,1.0,SOFT,1.0,1.0,1
2,Chinese Grand Prix,HAD,2.0,HARD,2.0,10.0,9
2,Chinese Grand Prix,HAD,3.0,HARD,11.0,56.0,46
2,Chinese Grand Prix,HAM,1.0,MEDIUM,1.0,10.0,10
2,Chinese Grand Prix,HAM,2.0,HARD,11.0,56.0,46
2,Chinese Grand Prix,HUL,1.0,HARD,1.0,35.0,35
2,Chinese Grand Prix,HUL,2.0,MEDIUM,36.0,55.0,20
2,Chinese Grand Prix,LAW,1.0,MEDIUM,1.0,9.0,9
2,Chinese Grand Prix,LAW,2.0,HARD,10.0,56.0,47
2,Chinese Grand Prix,LEC,1.0,MEDIUM,1.0,10.0,10
2,Chinese Grand Prix,LEC,2.0,HARD,11.0,56.0,46
2,Chinese Grand Prix,LIN,1.0,HARD,1.0,42.0,42
2,Chinese Grand Prix,LIN,2.0,MEDIUM,43.0,55.0,13
2,Chinese Grand Prix,OCO,1.0,HARD,1.0,29.0,29
2,Chinese Grand Prix,OCO,2.0,MEDIUM,30.0,46.0,17
2,Chinese Grand Prix,OCO,3.0,SOFT,47.0,55.0,9
2,Chinese Grand Prix,PER,1.0,MEDIUM,1.0,11.0,11
2,Chinese Grand Prix,PER,2.0,HARD,12.0,55.0,44
2,Chinese Grand Prix,RUS,1.0,MEDIUM,1.0,10.0,10
2,Chinese Grand Prix,RUS,2.0,HARD,11.0,56.0,46
2,Chinese Grand Prix,SAI,1.0,MEDIUM,1.0,9.0,9
2,Chinese Grand Prix,SAI,2.0,HARD,10.0,55.0,46
2,Chinese Grand Prix,STR,1.0,HARD,1.0,10.0,10
2,Chinese Grand Prix,VER,1.0,SOFT,1.0,9.0,9
2,Chinese Grand Prix,VER,2.0,HARD,10.0,45.0,36
3,Japanese Grand Prix,ALB,1.0,MEDIUM,1.0,22.0,22
3,Japanese Grand Prix,ALB,2.0,HARD,23.0,45.0,23
3,Japanese Grand Prix,ALB,3.0,SOFT,46.0,46.0,1
3,Japanese Grand Prix,ALB,4.0,SOFT,47.0,47.0,1
3,Japanese Grand Prix,ALB,5.0,SOFT,48.0,48.0,1
3,Japanese Grand Prix,ALB,6.0,SOFT,49.0,49.0,1
3,Japanese Grand Prix,ALB,7.0,MEDIUM,50.0,51.0,2
3,Japanese Grand Prix,ALO,1.0,MEDIUM,1.0,21.0,21
3,Japanese Grand Prix,ALO,2.0,HARD,22.0,23.0,2
3,Japanese Grand Prix,ALO,3.0,MEDIUM,24.0,52.0,29
3,Japanese Grand Prix,ANT,1.0,MEDIUM,1.0,22.0,22
3,Japanese Grand Prix,ANT,2.0,HARD,23.0,53.0,31
3,Japanese Grand Prix,BEA,1.0,MEDIUM,1.0,16.0,16
3,Japanese Grand Prix,BEA,2.0,HARD,17.0,21.0,5
3,Japanese Grand Prix,BOR,1.0,MEDIUM,1.0,22.0,22
3,Japanese Grand Prix,BOR,2.0,HARD,23.0,53.0,31
3,Japanese Grand Prix,BOT,1.0,HARD,1.0,19.0,19
3,Japanese Grand Prix,BOT,2.0,MEDIUM,20.0,52.0,33
3,Japanese Grand Prix,COL,1.0,MEDIUM,1.0,17.0,17
3,Japanese Grand Prix,COL,2.0,HARD,18.0,53.0,36
3,Japanese Grand Prix,GAS,1.0,MEDIUM,1.0,22.0,22
3,Japanese Grand Prix,GAS,2.0,HARD,23.0,53.0,31
3,Japanese Grand Prix,HAD,1.0,MEDIUM,1.0,19.0,19
3,Japanese Grand Prix,HAD,2.0,HARD,20.0,53.0,34
3,Japanese Grand Prix,HAM,1.0,MEDIUM,1.0,22.0,22
3,Japanese Grand Prix,HAM,2.0,HARD,23.0,53.0,31
3,Japanese Grand Prix,HUL,1.0,MEDIUM,1.0,23.0,23
3,Japanese Grand Prix,HUL,2.0,HARD,24.0,53.0,30
3,Japanese Grand Prix,LAW,1.0,MEDIUM,1.0,22.0,22
3,Japanese Grand Prix,LAW,2.0,HARD,23.0,53.0,31
3,Japanese Grand Prix,LEC,1.0,MEDIUM,1.0,17.0,17
3,Japanese Grand Prix,LEC,2.0,HARD,18.0,53.0,36
3,Japanese Grand Prix,LIN,1.0,MEDIUM,1.0,18.0,18
3,Japanese Grand Prix,LIN,2.0,HARD,19.0,53.0,35
3,Japanese Grand Prix,NOR,1.0,MEDIUM,1.0,16.0,16
