Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Round,EventName,Time_Seconds
-1 days +23:01:20.088000,23.1,55.8,1013.7,False,36.2,114,1.8,1,Australian Grand Prix,-3519.912
-1 days +23:02:20.104000,23.2,55.1,1013.6,False,35.9,110,3.0,1,Australian Grand Prix,-3459.896
-1 days +23:03:20.105000,23.2,55.2,1013.6,False,35.6,115,3.2,1,Australian Grand Prix,-3399.895
-1 days +23:04:20.107000,23.1,55.7,1013.7,False,35.7,104,3.4,1,Australian Grand Prix,-3339.893
-1 days +23:05:20.140000,23.1,55.8,1013.8,False,35.8,108,3.1,1,Australian Grand Prix,-3279.86
-1 days +23:06:20.153000,23.2,55.5,1013.7,False,35.7,109,3.4,1,Australian Grand Prix,-3219.847
-1 days +23:07:20.154000,23.2,55.7,1013.6,False,35.5,128,1.7,1,Australian Grand Prix,-3159.846
-1 days +23:08:20.144000,23.1,56.6,1013.7,False,35.7,106,2.1,1,Australian Grand Prix,-3099.856
-1 days +23:09:20.159000,23.1,57.0,1013.7,False,35.4,118,3.1,1,Australian Grand Prix,-3039.841
-1 days +23:10:20.160000,23.2,55.9,1013.5,False,35.6,154,2.4,1,Australian Grand Prix,-2979.84
-1 days +23:11:20.174000,23.1,56.6,1013.6,False,36.0,124,1.3,1,Australian Grand Prix,-2919.826
-1 days +23:12:20.191000,23.2,56.1,1013.6,False,36.3,98,1.6,1,Australian Grand Prix,-2859.809
-1 days +23:13:20.177000,23.1,56.1,1013.6,False,36.7,127,2.3,1,Australian Grand Prix,-2799.823
-1 days +23:14:20.191000,23.1,56.1,1013.5,False,36.3,109,3.2,1,Australian Grand Prix,-2739.809
-1 days +23:15:20.197000,23.1,56.1,1013.5,False,36.3,132,2.2,1,Australian Grand Prix,-2679.803
-1 days +23:16:20.177000,23.1,55.9,1013.5,False,35.6,131,3.8,1,Australian Grand Prix,-2619.823
-1 days +23:17:20.193000,23.1,56.0,1013.5,False,35.6,133,2.1,1,Australian Grand Prix,-2559.807
-1 days +23:18:20.185000,23.1,56.3,1013.5,False,35.6,110,2.3,1,Australian Grand Prix,-2499.815
-1 days +23:19:20.196000,23.1,56.5,1013.3,False,35.7,118,1.5,1,Australian Grand Prix,-2439.804
-1 days +23:20:20.180000,23.2,56.0,1013.4,False,35.6,95,0.9,1,Australian Grand Prix,-2379.82
-1 days +23:21:20.182000,23.2,56.4,1013.3,False,35.5,110,2.3,1,Australian Grand Prix,-2319.818
-1 days +23:22:20.199000,23.2,56.5,1013.3,False,35.5,109,2.4,1,Australian Grand Prix,-2259.801
-1 days +23:23:20.199000,23.3,56.0,1013.3,False,35.8,108,3.7,1,Australian Grand Prix,-2199.801
-1 days +23:24:20.220000,23.3,55.1,1013.3,False,34.9,130,3.8,1,Australian Grand Prix,-2139.78
